Name;Description;Ingredients;Preparation;Calories_kcal
Smoothie - Grüner Kiwi-Spinat-Smoothie;Frischer grüner Smoothie mit Kiwi, Spinat und Apfel.;Kiwi roh:120|Spinat roh:60|Apfel roh:140|Gurke roh:100|Trinkwasser:200|Zitronensaft:10;Obst und Gemüse waschen und grob schneiden.<br>Alles mit Getränk oder Joghurt in einen Mixer geben.<br>Fein pürieren und bei Bedarf mit Wasser verdünnen.<br>Sofort gekühlt servieren.<br>Kalorien: ca. 180 kcal.;180
Smoothie - Schoko-Bananen-Smoothie;Süßer Smoothie mit Banane, Kakao und Mandeldrink.;Banane roh:180|Mandeldrink ungesüßt:250|Kakaopulver schwach entölt:12|Erdnussbutter/Erdnusscreme:20|Hafer Flocken:25;Obst und Gemüse waschen und grob schneiden.<br>Alles mit Getränk oder Joghurt in einen Mixer geben.<br>Fein pürieren und bei Bedarf mit Wasser verdünnen.<br>Sofort gekühlt servieren.<br>Kalorien: ca. 450 kcal.;450
Smoothie - Orange-Karotte-Ingwer-Smoothie;Fruchtiger Smoothie mit Orange, Karotte und Ingwer.;Orange roh:180|Karotte/Möhre, roh:120|Apfelsaft:160|Ingwer/Ingwerwurzel, roh:6|Zitronensaft:10;Obst und Gemüse waschen und grob schneiden.<br>Alles mit Getränk oder Joghurt in einen Mixer geben.<br>Fein pürieren und bei Bedarf mit Wasser verdünnen.<br>Sofort gekühlt servieren.<br>Kalorien: ca. 210 kcal.;210
Frühstück - Porridge mit Apfel und Walnuss;Warm gekochter Haferbrei mit Apfel und Walnüssen.;Hafer Flocken:70|Milch fettarm, frisch, 1,5 % Fett, pasteurisiert:220|Apfel roh:150|Walnuss:25|Blütenhonig (Nektarhonig):12;Basiszutaten in einer Schüssel verrühren oder kurz kochen.<br>Obst waschen und schneiden.<br>Nüsse, Samen oder Süße ergänzen.<br>Kurz ziehen lassen und servieren.<br>Kalorien: ca. 650 kcal.;650
Frühstück - Joghurt-Beeren-Bowl;Schnelles Frühstück mit Joghurt, Beeren und Hafer.;Joghurt mild, mind. 3,5 % Fett:220|Hafer Flocken:55|Erdbeere roh:100|Himbeere roh:80|Mandel süß:25|Blütenhonig (Nektarhonig):10;Basiszutaten in einer Schüssel verrühren oder kurz kochen.<br>Obst waschen und schneiden.<br>Nüsse, Samen oder Süße ergänzen.<br>Kurz ziehen lassen und servieren.<br>Kalorien: ca. 580 kcal.;580
Frühstück - Quark-Bananen-Frühstück;Eiweißreiches Frühstück mit Quark, Banane und Nüssen.;Speisequark Magerstufe, Magerquark < 10 % Fett i. Tr.:250|Banane roh:140|Hafer Flocken:45|Haselnuss:25|Blütenhonig (Nektarhonig):10;Basiszutaten in einer Schüssel verrühren oder kurz kochen.<br>Obst waschen und schneiden.<br>Nüsse, Samen oder Süße ergänzen.<br>Kurz ziehen lassen und servieren.<br>Kalorien: ca. 630 kcal.;630
Frühstück - Avocado-Ei-Toast;Herzhaftes Frühstück mit Avocado, Ei und Toast.;Weizentoastbrot/Buttertoastbrot:80|Avocado roh:80|Hühnerei roh:100|Tomate roh:80|Zitronensaft:8|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Basiszutaten in einer Schüssel verrühren oder kurz kochen.<br>Obst waschen und schneiden.<br>Nüsse, Samen oder Süße ergänzen.<br>Kurz ziehen lassen und servieren.<br>Kalorien: ca. 470 kcal.;470
Frühstück - Rührei mit Spinat und Champignons;Herzhaftes warmes Frühstück mit Ei und Gemüse.;Hühnerei roh:150|Spinat roh:80|Champignon roh:100|Milch fettarm, frisch, 1,5 % Fett, pasteurisiert:40|Rapsöl/Rüböl:8|Speisesalz/Siedesalz/Tafelsalz:2|Pfeffer schwarz, getrocknet:1;Basiszutaten in einer Schüssel verrühren oder kurz kochen.<br>Obst waschen und schneiden.<br>Nüsse, Samen oder Süße ergänzen.<br>Kurz ziehen lassen und servieren.<br>Kalorien: ca. 340 kcal.;340
Frühstück - Overnight Oats mit Mango;Vorbereitetes Frühstück mit Hafer, Mango und Joghurt.;Hafer Flocken:65|Joghurt mild, mind. 3,5 % Fett:180|Mango roh:150|Mandeldrink ungesüßt:100|Chia-Samen:15|Blütenhonig (Nektarhonig):10;Basiszutaten in einer Schüssel verrühren oder kurz kochen.<br>Obst waschen und schneiden.<br>Nüsse, Samen oder Süße ergänzen.<br>Kurz ziehen lassen und servieren.<br>Kalorien: ca. 560 kcal.;560
Dessert - Quark-Beeren-Creme;Leichtes Dessert mit Quark und Beeren.;Speisequark Magerstufe, Magerquark < 10 % Fett i. Tr.:220|Himbeere roh:100|Heidelbeere roh:100|Blütenhonig (Nektarhonig):15|Mandeldrink ungesüßt:50;Milchprodukt oder pflanzliche Alternative glatt rühren.<br>Obst vorbereiten und nach Bedarf kurz erwärmen.<br>Schichten oder cremig verrühren.<br>Kalt stellen oder direkt servieren.<br>Kalorien: ca. 310 kcal.;310
Dessert - Schoko-Bananen-Quark;Cremiges Dessert mit Banane und Kakao.;Speisequark Magerstufe, Magerquark < 10 % Fett i. Tr.:220|Banane roh:150|Kakaopulver schwach entölt:12|Blütenhonig (Nektarhonig):12|Milch fettarm, frisch, 1,5 % Fett, pasteurisiert:50;Milchprodukt oder pflanzliche Alternative glatt rühren.<br>Obst vorbereiten und nach Bedarf kurz erwärmen.<br>Schichten oder cremig verrühren.<br>Kalt stellen oder direkt servieren.<br>Kalorien: ca. 370 kcal.;370
Dessert - Joghurt-Mango-Schichtdessert;Fruchtiges Schichtdessert mit Mango und Joghurt.;Joghurt mild, mind. 3,5 % Fett:220|Mango roh:160|Hafer Flocken:35|Kokos Fruchtfleisch, geraspelt, getrocknet:18|Blütenhonig (Nektarhonig):10;Milchprodukt oder pflanzliche Alternative glatt rühren.<br>Obst vorbereiten und nach Bedarf kurz erwärmen.<br>Schichten oder cremig verrühren.<br>Kalt stellen oder direkt servieren.<br>Kalorien: ca. 520 kcal.;520
Dessert - Apfel-Walnuss-Dessert;Einfaches Dessert mit Apfel, Joghurt und Walnüssen.;Apfel roh:180|Joghurt mild, mind. 3,5 % Fett:200|Walnuss:25|Blütenhonig (Nektarhonig):12|Zitronensaft:8;Milchprodukt oder pflanzliche Alternative glatt rühren.<br>Obst vorbereiten und nach Bedarf kurz erwärmen.<br>Schichten oder cremig verrühren.<br>Kalt stellen oder direkt servieren.<br>Kalorien: ca. 460 kcal.;460
Dessert - Erdbeer-Sahne-Creme;Klassisches Dessert mit Erdbeeren, Sahne und Quark.;Erdbeere roh:180|Schlagsahne mind. 30 % Fett:70|Speisequark Magerstufe, Magerquark < 10 % Fett i. Tr.:150|Zucker weiß (Raffinadezucker/Weißzucker):25|Zitronensaft:8;Milchprodukt oder pflanzliche Alternative glatt rühren.<br>Obst vorbereiten und nach Bedarf kurz erwärmen.<br>Schichten oder cremig verrühren.<br>Kalt stellen oder direkt servieren.<br>Kalorien: ca. 490 kcal.;490
Dessert - Kokos-Ananas-Joghurt;Tropisches Dessert mit Ananas, Kokos und Joghurt.;Ananas gezuckert, Konserve, abgetropft:180|Joghurt mild, mind. 3,5 % Fett:220|Kokos Fruchtfleisch, geraspelt, getrocknet:25|Blütenhonig (Nektarhonig):10|Limette roh:25;Milchprodukt oder pflanzliche Alternative glatt rühren.<br>Obst vorbereiten und nach Bedarf kurz erwärmen.<br>Schichten oder cremig verrühren.<br>Kalt stellen oder direkt servieren.<br>Kalorien: ca. 460 kcal.;460
